# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.queueSize90P,1776153333234000000,1776153367116000000,327
FlushQueue.executionTimeMaxNs,1776153333234000000,1776153367116000000,93323263
FlushQueue.tasksExecuted,1776153333234000000,1776153367116000000,809
NonBlockingReadAction.finalizedExecutionTimeUs,1776153333234000000,1776153367116000000,65747
AWTEventQueue.dispatchTimeTotalNS,1776153333234000000,1776153367116000000,953790003
FlushQueue.queueSizeAvg,1776153333234000000,1776153367116000000,143.21013597033374
FlushQueue.queueSizeMax,1776153333234000000,1776153367116000000,379
FlushQueue.waitingTimeAvgNs,1776153333234000000,1776153367116000000,2.183496980093943E9
AWTEventQueue.dispatchTime90PNs,1776153333234000000,1776153367116000000,55807
WriteAction.executionsCount,1776153333234000000,1776153367116000000,2
FlushQueue.waitingTimeMaxNs,1776153333234000000,1776153367116000000,15569256447
FlushQueue.executionTimeAvgNs,1776153333234000000,1776153367116000000,379916.72929542646
NonBlockingReadAction.failedExecutionsCount,1776153333234000000,1776153367116000000,0
AWTEventQueue.dispatchTimeAvgNs,1776153333234000000,1776153367116000000,748197.2203921569
writeAction.max.wait.ms,1776153333234000000,1776153367116000000,0
writeAction.wait.ms,1776153333234000000,1776153367116000000,0
writeAction.median.wait.ms,1776153333234000000,1776153367116000000,0
writeAction.count,1776153333234000000,1776153367116000000,2
FilePageCacheLockFree.totalPagesWritten,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.totalPagesHandedOver,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.totalBytesWritten,1776153333234000000,1776153367116000000,0
DirectByteBufferAllocator.reclaimed,1776153333234000000,1776153367116000000,43
StorageLockContext.competingThreads.avg,1776153333234000000,1776153367116000000,0.7
FilePageCache.maxRegisteredFiles,1776153333234000000,1776153367116000000,191
FilePageCacheLockFree.totalNativeBytesReclaimed,1776153333234000000,1776153367116000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1776153333234000000,1776153367116000000,0
FilePageCache.pageLoads,1776153333234000000,1776153367116000000,85
FilePageCache.pageHits,1776153333234000000,1776153367116000000,0
FilePageCache.totalPageDisposalsUs,1776153333234000000,1776153367116000000,835
FilePageCacheLockFree.totalPagesAllocated,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1776153333234000000,1776153367116000000,0
FilePageCache.pageFastCacheHits,1776153333234000000,1776153367116000000,1524
MappedFileStorage.storages,1776153333234000000,1776153367116000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.totalPagesRequested,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.totalPagesReclaimed,1776153333234000000,1776153367116000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776153333234000000,1776153367116000000,41943040
FilePageCacheLockFree.totalHeapBytesAllocated,1776153333234000000,1776153367116000000,0
StorageLockContext.competingThreads.max,1776153333234000000,1776153367116000000,9
FilePageCacheLockFree.totalPageAllocationsWaited,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.totalPagesWriteMs,1776153333234000000,1776153367116000000,0
MappedFileStorage.totalPagesMapped,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.heapBytesInUse,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.totalBytesRequested,1776153333234000000,1776153367116000000,0
DirectByteBufferAllocator.disposed,1776153333234000000,1776153367116000000,42
FilePageCacheLockFree.housekeeperTimeSpentMs,1776153333234000000,1776153367116000000,0
FilePageCache.totalPageLoadsUs,1776153333234000000,1776153367116000000,4434171
FilePageCache.disposedBuffers,1776153333234000000,1776153367116000000,85
FilePageCache.maxCacheSizeInBytes,1776153333234000000,1776153367116000000,85983232
FilePageCacheLockFree.totalPagesRequestsMs,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.totalBytesRead,1776153333234000000,1776153367116000000,0
DirectByteBufferAllocator.misses,1776153333234000000,1776153367116000000,82
FilePageCacheLockFree.housekeeperTurnsDone,1776153333234000000,1776153367116000000,0
FilePageCache.capacityInBytes,1776153333234000000,1776153367116000000,503316478
FilePageCacheLockFree.totalPagesReadMs,1776153333234000000,1776153367116000000,0
StorageLockContext.competingThreads.90P,1776153333234000000,1776153367116000000,0
DirectByteBufferAllocator.hits,1776153333234000000,1776153367116000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776153333234000000,1776153367116000000,41943040
FilePageCacheLockFree.housekeeperTurnsSkipped,1776153333234000000,1776153367116000000,0
FilePageCache.uncachedFileAccess,1776153333234000000,1776153367116000000,39
MappedFileStorage.totalBytesMapped,1776153333234000000,1776153367116000000,0
FilePageCacheLockFree.nativeBytesInUse,1776153333234000000,1776153367116000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1776153333234000000,1776153367116000000,842599
FilePageCacheLockFree.totalNativeBytesAllocated,1776153333234000000,1776153367116000000,0
cacheStateStorage.set.duration,1776153333234000000,1776153367116000000,0
cacheStateStorage.get.duration,1776153333234000000,1776153367116000000,9
cacheStateStorage.set.counter,1776153333234000000,1776153367116000000,0
cacheStateStorage.get.counter,1776153333234000000,1776153367116000000,4
