# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalContentionQuotaSpent,1776151435003000000,1776151495046000000,0
IndexesFlusher.totalFlushesRetried,1776151435003000000,1776151495046000000,0
IndexesFlusher.totalFlushes,1776151435003000000,1776151495046000000,57
IndexesFlusher.totalFlushingTimeUs,1776151435003000000,1776151495046000000,149646
jps.global.get.library.ms,1776151435003000000,1776151495046000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776151435003000000,1776151495046000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1776151435003000000,1776151495046000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776151435003000000,1776151495046000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776151435003000000,1776151495046000000,13
jps.global.get.library.by.name.ms,1776151435003000000,1776151495046000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1776151435003000000,1776151495046000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776151435003000000,1776151495046000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1776151435003000000,1776151495046000000,21
jps.modifiable.module.model.bridge.new.module.ms,1776151435003000000,1776151495046000000,29
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1776151435003000000,1776151495046000000,4
workspaceModel.load.cache.from.file.ms,1776151435003000000,1776151495046000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776151435003000000,1776151495046000000,1
jps.save.changed.project.entities.ms,1776151435003000000,1776151495046000000,0
jps.storage.jps.conf.reader.load.component.ms,1776151435003000000,1776151495046000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1776151435003000000,1776151495046000000,0
workspaceModel.moduleBridge.update.option.ms,1776151435003000000,1776151495046000000,0
jps.facet.change.listener.process.change.events.ms,1776151435003000000,1776151495046000000,0
workspaceModel.save.cache.to.file.ms,1776151435003000000,1776151495046000000,50
workspaceModel.moduleBridgeLoader.loading.modules.ms,1776151435003000000,1776151495046000000,74
jps.library.entities.serializer.load.entities.ms,1776151435003000000,1776151495046000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776151435003000000,1776151495046000000,14
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776151435003000000,1776151495046000000,0
jps.global.get.libraries.ms,1776151435003000000,1776151495046000000,0
workspaceModel.sync.entities.ms,1776151435003000000,1776151495046000000,0
jps.artifact.entities.serializer.save.entities.ms,1776151435003000000,1776151495046000000,0
jps.load.project.to.empty.storage.ms,1776151435003000000,1776151495046000000,27
jps.apply.loaded.storage.ms,1776151435003000000,1776151495046000000,22
jps.app.storage.content.reader.load.component.ms,1776151435003000000,1776151495046000000,1
jps.modifiable.module.model.bridge.disposing.ms,1776151435003000000,1776151495046000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776151435003000000,1776151495046000000,1
workspaceModel.mutableEntityStorage.instances.count,1776151435003000000,1776151495046000000,22
jps.library.entities.serializer.save.entities.ms,1776151435003000000,1776151495046000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1776151435003000000,1776151495046000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1776151435003000000,1776151495046000000,0
workspaceModel.global.updates.ms,1776151435003000000,1776151495046000000,0
workspaceModel.global.apply.state.to.project.ms,1776151435003000000,1776151495046000000,0
jps.modifiable.module.model.bridge.renaming.ms,1776151435003000000,1776151495046000000,0
jps.global.initialize.library.bridges.ms,1776151435003000000,1776151495046000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776151435003000000,1776151495046000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776151435003000000,1776151495046000000,2
jps.modifiable.module.model.bridge.load.module.ms,1776151435003000000,1776151495046000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1776151435003000000,1776151495046000000,0
